entity_id,canonical_name,gold_name,gold_phone,gold_email,gold_website,gold_address
1,alpha trading,Alpha Trading Corp,+6581719583,contact@alpha.com,alpha.com,"174 Kallang Place, #06-76, Jakarta, 198246"
2,beta logistics,Beta Logistics CORP.,+6591197935,contact@beta.com,beta.com,"156 Pasir Panjang Road, Unit 16-21, Johor Bahru, 497887"
3,crestview engineering,Crestview Engineering Corporation,+6591871534,admin@crestview.com,crestview.com,"76 Ubi Avenue 1, Johor Bahru, 632342"
4,delta supplies,Delta Supplies Private Limited,+6580120642,admin@delta.com,delta.com,"19 Kallang Place, Penang, 174299"
5,everbright tech l l c,Everbright Tech L.L.C.,+6594785687,hello@everbright.com,everbright.com,"109 Kallang Place, Penang, 411120"
6,falcon marine,Falcon Marine Ltd,+6599113685,contact@falcon.com,falcon.com,"181 Orchard Road, #34-02, Jakarta, 240814"
7,golden harvest foods,Golden Harvest Foods Corp,+62766430218,admin@goldenharvest.sg,goldenharvest.sg,"192 Jurong East St 21, Johor Bahru, 448321"
8,harbourlink services,Harbourlink Services Pte. Ltd.,+60491079829,admin@harbourlink.com,harbourlink.com,"111 Robinson Road, #22-80, Penang, 414910"
9,ionix solutions,Ionix Solutions SDN. BHD.,+6581788238,sales@ionix.com,ionix.com,"200 Ubi Avenue 1, #12-90, Johor Bahru, 684482"
10,jade peak consulting,Jade Peak Consulting Sendirian Berhad,+62612153089,info@jadepeak.com.sg,jadepeak.com.sg,"2 Tai Seng Drive, Kuala Lumpur, 611945"
11,kingfisher retail l l c,Kingfisher Retail L.L.C.,+6587801975,info@kingfisher.com.sg,kingfisher.com.sg,"180 Orchard Road, #11-78, Kuala Lumpur, 271720"
12,lighthouse medical,Lighthouse Medical LLC,+6599560490,hello@lighthouse.sg,lighthouse.sg,"157 Pasir Panjang Road, Batam, 611233"
13,meridian packaging,Meridian Packaging LLC,+6591686548,hello@meridian.com.sg,meridian.com.sg,"214 Tanjong Pagar Road, #15-47, Kuala Lumpur, 660081"
14,northstar security,Northstar Security Corp,+6589260893,info@northstar.sg,northstar.sg,"20 Jurong East St 21, Singapore, 134225"
15,orchid wellness,Orchid Wellness Ltd,+6591530793,hello@orchid.com.sg,orchid.com.sg,"121 Tai Seng Drive, Batam, 531641"
16,pacific alloy,Pacific Alloy PTE. LTD.,+6596970771,contact@pacificalloy.sg,pacificalloy.sg,"214 Cecil Street, Unit 36-19, Batam, 299869"
17,quantum fleet,Quantum Fleet Corp,+6595680114,hello@quantumfleet.com,quantumfleet.com,"160 Kallang Place, Batam, 757246"
18,redwood analytics,Redwood Analytics Pte. Ltd.,+6594195951,admin@redwood.sg,redwood.sg,"117 Orchard Road, Unit 07-31, Johor Bahru, 699704"
19,silverline motors liability,Silverline Motors Limited Liability Company,+62196961971,hello@silverline.com.sg,silverline.com.sg,"203 Ubi Avenue 1, Singapore, 374896"
20,titan build,Titan Build Private Limited,+6593184459,contact@titanbuild.com.sg,titanbuild.com.sg,"248 Robinson Road, #06-85, Batam, 153035"
21,urban hive,Urban Hive Sendirian Berhad,+62557707813,info@urbanhive.com,urbanhive.com,"176 Robinson Road, Batam, 168872"
22,vertex systems,Vertex Systems Limited,+62477577220,info@vertex.sg,vertex.sg,"27 Ang Mo Kio Ave 5, #14-20, Jakarta, 467121"
23,westgate energy,Westgate Energy LTD.,+6596948850,hello@westgate.com.sg,westgate.com.sg,"70 Tanjong Pagar Road, Jakarta, 721946"
24,xeno fabrication,Xeno Fabrication PTE. LTD.,+6586639863,admin@xenofab.sg,xenofab.sg,"223 Orchard Road, #22-29, Penang, 635280"
25,yellow palm ventures,Yellow Palm Ventures Incorporated,+6585394323,info@yellowpalm.com.sg,yellowpalm.com.sg,"155 Cecil Street, Jakarta, 188425"
26,zenith care,Zenith Care INC.,+6585733317,contact@zenithcare.com,zenithcare.com,"243 Cecil Street, Johor Bahru, 206053"
27,apex global,Apex Global Corporation,+6584576678,contact@apexglobal.com,apexglobal.com,"116 Bukit Batok Crescent, Johor Bahru, 127965"
28,bluefin digital,Bluefin Digital Corporation,+6597201433,sales@bluefin.com.sg,bluefin.com.sg,"1 Ang Mo Kio Ave 5, #16-74, Kuala Lumpur, 648913"
29,cobalt precision,Cobalt Precision PTE. LTD.,+60804086195,contact@cobalt.sg,cobalt.sg,"85 Orchard Road, Unit 26-96, Singapore, 505426"
30,dragonfly media,Dragonfly Media Sendirian Berhad,+6596223751,admin@dragonfly.com,dragonfly.com,"96 Cecil Street, Unit 34-47, Singapore, 429657"
31,eclipse industrial,Eclipse Industrial Limited,+6581446455,contact@eclipse.com.sg,eclipse.com.sg,"17 Orchard Road, Unit 27-99, Batam, 702826"
32,frontier agro,Frontier Agro Corp,+6588355692,hello@frontieragro.com.sg,frontieragro.com.sg,"228 Pasir Panjang Road, Jakarta, 525818"
33,greenport holdings,Greenport Holdings Pte. Ltd.,+60726360971,hello@greenport.com.sg,greenport.com.sg,"91 Shenton Way, Unit 39-84, Singapore, 399628"
34,helios automation l l c,Helios Automation L.L.C.,+6599444301,contact@heliosauto.com.sg,heliosauto.com.sg,"77 Cecil Street, Singapore, 759827"
35,indigo capital,Indigo Capital LLC,+6594848684,admin@indigocap.sg,indigocap.sg,"181 Tanjong Pagar Road, Penang, 401769"
36,juniper foods,Juniper Foods LTD.,+608+4+428,info@juniperfoods.com.sg,juniperfoods.com.sg,"147 Tanjong Pagar Road, #03-23, Jakarta, 516278"
37,keystone mobility,Keystone Mobility Sdn Bhd,+62725412469,contact@keystonemobility.sg,keystonemobility.sg,"186 Ang Mo Kio Ave 5, Singapore, 165142"
38,lotus nexus,Lotus Nexus INC.,+6595170227,admin@lotusnexus.sg,lotusnexus.sg,"186 Shenton Way, #17-01, Batam, 147489"
39,magna office,Magna Office Inc,+658749+38,sales@magnaoffice.com,magnaoffice.com,"154 Pasir Panjang Road, Unit 03-52, Penang, 345722"
40,nova freight l l c,Nova Freight L.L.C.,+6596225647,contact@novafreight.com,novafreight.com,"24 Bukit Batok Crescent, #13-07, Penang, 176319"
41,oakridge telecom,Oakridge Telecom Inc,+6594317226,admin@oakridge.sg,oakridge.sg,"196 Cecil Street, Penang, 277487"
42,prime shelter,Prime Shelter LTD.,+65977+704,info@primeshelter.sg,primeshelter.sg,"145 Tanjong Pagar Road, #15-39, Penang, 198042"
43,riverstone labs,Riverstone Labs Sdn Bhd,+6595475691,contact@riverstonelabs.com,riverstonelabs.com,"8 Pasir Panjang Road, Unit 15-46, Kuala Lumpur, 552825"
44,summit paper,Summit Paper Incorporated,+6595052144,hello@summitpaper.com,summitpaper.com,"69 Cecil Street, Unit 28-36, Johor Bahru, 414313"
45,trident cooling,Trident Cooling CORP.,+6591160289,sales@tridentcooling.com.sg,tridentcooling.com.sg,"210 Ubi Avenue 1, Penang, 790658"
46,unity mercantile,Unity Mercantile INC.,+6595350413,hello@unitymercantile.sg,unitymercantile.sg,"18 Orchard Road, #08-03, Singapore, 272337"
47,vista maritime,Vista Maritime Corporation,+6585254384,admin@vistamaritime.sg,vistamaritime.sg,"31 Tanjong Pagar Road, Kuala Lumpur, 635638"
48,windward robotics,Windward Robotics Limited,+60916048218,admin@windward.sg,windward.sg,"185 Cecil Street, Jakarta, 412170"
49,yorkstone assets,Yorkstone Assets SDN. BHD.,+6596191986,info@yorkstone.com,yorkstone.com,"117 Cecil Street, Unit 06-94, Kuala Lumpur, 765678"
50,zeta pharm,Zeta Pharm Corp,+6591307594,info@zetapharm.com.sg,zetapharm.com.sg,"34 Ang Mo Kio Ave 5, #34-88, Johor Bahru, 460263"
