id,name,phone,email,website,address
1,Grab Pte. Ltd.,+65 6123 4567,ops@grab.com,https://www.grab.com,Singapore
2,GRAB PTE LTD,(+65)61234567,Ops@Grab.com,grab.com/,Singapore HQ
3,Shopee Xpress Sdn Bhd,+65 6777 2222,contact@spx.sg,https://spx.sg,Singapore
4,SPX EXPRESS,+65 6777 2222,support@spx.sg,http://www.spx.sg/,SG
5,NTUC FairPrice Co.,+65 6999 1000,help@fairprice.com.sg,https://www.fairprice.com.sg,Singapore
6,NTUC FAIRPRICE,+65 6999 1000,help@gmail.com,fairprice.com.sg/,SG
7,Haidilao Singapore Pte Ltd,+65 6888 7766,team@haidilao.com.sg,https://haidilao.com.sg,Singapore
8,Haidi Lao SG,+65 6888 7766,team@haidilao.com.sg,haidilao.com.sg/,Bugis
9,Lazada Group,+65 6770 0000,corp@lazada.com,https://www.lazada.com,Singapore
10,Lazada Singapore,+65 6770 0000,corp@yahoo.com,lazada.com,SG
11,Unknown Merchant,,,http://www.unknown-example.biz,
