record_id,entity_id_truth,name,phone,email,website,address,source_note
1,1,Alpha Trading Corp,+65 8171 9583,CONTACT@ALPHA.COM,ALPHA.COM,"174 Kallang Place, #06-76, Jakarta, 198246",imported from CRM
2,1,Alpha  Trading,,contact@alpha.com,http://alpha.com,,sales rep note
3,1,Alpha Trading Corp,+65 8171 9583,,,,old sheet copy
4,1,Alpha Trading Corp,(+65) 8171 9583,CONTACT@ALPHA.COM,https://www.alpha.com/,,linkedin scrape
5,2,Beta Logistics,,contact@beta.com,beta.com,,manual entry
6,2,Beta  Logistics,,,www.beta.com,"156 Pasir Panjang Road, Unit 16-21, Johor Bahru, 497887",trade show list
7,2,Beta Logistics Corporation,+65 9119 7935,CONTACT@BETA.COM,www.beta.com,"156 PASIR PANJANG ROAD, UNIT 16-21, JOHOR BAHRU, 497887",scraped from directory
8,2,beta logistics corp.,+65 9119 7935,,www.beta.com,,scraped from directory
9,3,CrestviewEngineering,9187 1534,ADMIN@CRESTVIEW.COM,,"76 Ubi Avenue 1, Johor Bahru, 632342",sales rep note
10,3,CRESTVIEW ENGINEERING CORPORATION,+65 9187 1534,admin@crestview.com,https://www.crestview.com/,"76 Ubi Avenue 1, Johor Bahru, 632342",linkedin scrape
11,3,crestview engineering corporation,+65 9187 1534, admin@crestview.com ,www.crestview.com,"76 Ubi Avenue 1, Johor Bahru, 632342",old sheet copy
12,3,Crestview Engineering Corporation,,,CRESTVIEW.COM,"76 Ubi Avenue 1, Johor Bahru, 632342",old sheet copy
13,4,Delta. Supplies. Private Limited,,ADMIN@DELTA.COM,http://delta.com,"19 Kallang Place, Penang, 174299",manual entry
14,4,Delta  Supplies,,admin@delta.com,www.delta.com,,manual entry
15,4,Delta Supplies,,ADMIN@DELTA.COM,http://delta.com,19 Kallang Place Penang 174299,linkedin scrape
16,4,Delta Supplies Private Limited,,,http://delta.com,"19 kallang place, penang, 174299",scraped from directory
17,5,Everbright Tech L.L.C.,+65 9478 5687,hello@gmail.com,everbright.com,"109 Kallang Place, Penang, 411120",scraped from directory
